P188	gv962	{'scissor': 141, 'paper': 274, 'rock': 218}	{'scissor': 14, 'paper': 135, 'rock': 24}
P258	mr005	{'scissor': 151, 'paper': 143, 'rock': 225}	{'scissor': 24, 'paper': 60, 'rock': 17}
P986	um425	{'scissor': 156, 'paper': 151, 'rock': 84}	{'scissor': 61, 'paper': 116, 'rock': 28}
P631	fy268	{'scissor': 91, 'paper': 203, 'rock': 161}	{'scissor': 23, 'paper': 17, 'rock': 9}
P675	jq381	{'scissor': 85, 'paper': 226, 'rock': 223}	{'scissor': 57, 'paper': 141, 'rock': 118}
P796	sb894	{'scissor': 221, 'paper': 65, 'rock': 248}	{'scissor': 125, 'paper': 10, 'rock': 126}
P411	dz792	{'scissor': 58, 'paper': 176, 'rock': 156}	{'scissor': 36, 'paper': 130, 'rock': 5}
P203	hh809	{'scissor': 283, 'paper': 371, 'rock': 183}	{'scissor': 150, 'paper': 46, 'rock': 68}
P348	lp473	{'scissor': 68, 'paper': 96, 'rock': 257}	{'scissor': 45, 'paper': 31, 'rock': 5}
P930	jq430	{'scissor': 282, 'paper': 193, 'rock': 194}	{'scissor': 84, 'paper': 71, 'rock': 60}
P961	oj248	{'scissor': 228, 'paper': 146, 'rock': 126}	{'scissor': 31, 'paper': 89, 'rock': 13}
P507	an106	{'scissor': 215, 'paper': 249, 'rock': 121}	{'scissor': 58, 'paper': 80, 'rock': 16}
P801	xm495	{'scissor': 181, 'paper': 79, 'rock': 134}	{'scissor': 75, 'paper': 16, 'rock': 22}
P020	xw595	{'scissor': 325, 'paper': 225, 'rock': 87}	{'scissor': 126, 'paper': 10, 'rock': 7}
P224	rz124	{'scissor': 209, 'paper': 208, 'rock': 80}	{'scissor': 26, 'paper': 62, 'rock': 6}
P417	kf296	{'scissor': 238, 'paper': 156, 'rock': 355}	{'scissor': 113, 'paper': 25, 'rock': 155}
P071	cn614	{'scissor': 257, 'paper': 182, 'rock': 180}	{'scissor': 118, 'paper': 156, 'rock': 52}
P426	jj029	{'scissor': 223, 'paper': 25, 'rock': 148}	{'scissor': 119, 'paper': 4, 'rock': 60}
P557	bh019	{'scissor': 231, 'paper': 216, 'rock': 164}	{'scissor': 145, 'paper': 6, 'rock': 0}
P802	mn664	{'scissor': 90, 'paper': 139, 'rock': 232}	{'scissor': 21, 'paper': 42, 'rock': 48}
P591	uj790	{'scissor': 199, 'paper': 141, 'rock': 43}	{'scissor': 14, 'paper': 15, 'rock': 8}
P864	kz294	{'scissor': 150, 'paper': 298, 'rock': 188}	{'scissor': 5, 'paper': 139, 'rock': 34}
P306	dl078	{'scissor': 155, 'paper': 348, 'rock': 224}	{'scissor': 1, 'paper': 67, 'rock': 131}
P801	qp645	{'scissor': 73, 'paper': 290, 'rock': 163}	{'scissor': 24, 'paper': 52, 'rock': 2}
P203	pf915	{'scissor': 130, 'paper': 382, 'rock': 234}	{'scissor': 0, 'paper': 18, 'rock': 3}
P125	sf362	{'scissor': 51, 'paper': 175, 'rock': 109}	{'scissor': 2, 'paper': 68, 'rock': 18}
P349	rk406	{'scissor': 160, 'paper': 180, 'rock': 47}	{'scissor': 106, 'paper': 135, 'rock': 11}
P104	uw485	{'scissor': 73, 'paper': 190, 'rock': 171}	{'scissor': 3, 'paper': 45, 'rock': 130}
P426	oq644	{'scissor': 157, 'paper': 297, 'rock': 252}	{'scissor': 54, 'paper': 109, 'rock': 13}
P024	xc715	{'scissor': 81, 'paper': 173, 'rock': 132}	{'scissor': 10, 'paper': 36, 'rock': 78}
P766	eb364	{'scissor': 111, 'paper': 229, 'rock': 186}	{'scissor': 13, 'paper': 1, 'rock': 42}
P279	lv316	{'scissor': 165, 'paper': 84, 'rock': 151}	{'scissor': 24, 'paper': 26, 'rock': 27}
P064	cu210	{'scissor': 203, 'paper': 192, 'rock': 232}	{'scissor': 61, 'paper': 61, 'rock': 101}
